lon,lat,elevation
7.63524,45.97871,2973
7.63567,45.97871,2976
7.63610,45.97871,2976
7.63653,45.97871,2976
7.63696,45.97871,2975
7.63739,45.97871,2976
7.63782,45.97871,2978
7.63824,45.97871,2979
7.63867,45.97871,2980
7.63910,45.97871,2982
7.63953,45.97871,2983
7.63996,45.97871,2983
7.64039,45.97871,2984
7.64082,45.97871,2986
7.64125,45.97871,2991
7.64168,45.97871,3001
7.64211,45.97871,3012
7.64254,45.97871,3027
7.64297,45.97871,3037
7.64339,45.97871,3046
7.64382,45.97871,3071
7.64425,45.97871,3098
7.64468,45.97871,3128
7.64511,45.97871,3163
7.64554,45.97871,3205
7.64597,45.97871,3250
7.64640,45.97871,3292
7.62451,45.97841,2881
7.62494,45.97841,2883
7.62537,45.97841,2884
7.62580,45.97841,2884
7.62623,45.97841,2885
7.62666,45.97841,2886
7.62709,45.97841,2889
7.62752,45.97841,2894
7.62794,45.97841,2900
7.62837,45.97841,2907
7.62880,45.97841,2915
7.62923,45.97841,2923
7.62966,45.97841,2932
7.63009,45.97841,2941
7.63052,45.97841,2950
7.63095,45.97841,2957
7.63138,45.97841,2962
7.63181,45.97841,2965
7.63224,45.97841,2967
7.63267,45.97841,2968
7.63309,45.97841,2967
7.63352,45.97841,2967
7.63395,45.97841,2968
7.63438,45.97841,2970
7.63481,45.97841,2972
7.63524,45.97841,2973
7.63567,45.97841,2975
7.63610,45.97841,2976
7.63653,45.97841,2977
7.63696,45.97841,2976
7.63739,45.97841,2977
7.63782,45.97841,2979
7.63824,45.97841,2980
7.63867,45.97841,2981
7.63910,45.97841,2982
7.63953,45.97841,2983
7.63996,45.97841,2984
7.64039,45.97841,2984
7.64082,45.97841,2983
7.64125,45.97841,2986
7.64168,45.97841,2996
7.64211,45.97841,3010
7.64254,45.97841,3026
7.64297,45.97841,3033
7.64339,45.97841,3036
7.64382,45.97841,3067
7.64425,45.97841,3098
7.64468,45.97841,3131
7.64511,45.97841,3166
7.64554,45.97841,3205
7.64597,45.97841,3248
7.64640,45.97841,3289
7.62451,45.97812,2888
7.62494,45.97812,2890
7.62537,45.97812,2891
7.62580,45.97812,2891
7.62623,45.97812,2892
7.62666,45.97812,2893
7.62709,45.97812,2896
7.62752,45.97812,2901
7.62794,45.97812,2907
7.62837,45.97812,2915
7.62880,45.97812,2924
7.62923,45.97812,2932
7.62966,45.97812,2942
7.63009,45.97812,2952
7.63052,45.97812,2961
7.63095,45.97812,2967
7.63138,45.97812,2971
7.63181,45.97812,2974
7.63224,45.97812,2975
7.63267,45.97812,2975
7.63309,45.97812,2972
7.63352,45.97812,2971
7.63395,45.97812,2972
7.63438,45.97812,2973
7.63481,45.97812,2974
7.63524,45.97812,2975
7.63567,45.97812,2976
7.63610,45.97812,2977
7.63653,45.97812,2978
7.63696,45.97812,2978
7.63739,45.97812,2979
7.63782,45.97812,2980
7.63824,45.97812,2981
7.63867,45.97812,2981
7.63910,45.97812,2983
7.63953,45.97812,2984
7.63996,45.97812,2984
7.64039,45.97812,2983
7.64082,45.97812,2982
7.64125,45.97812,2985
7.64168,45.97812,2993
